"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","DKK","Danish Krone","0","Units",,,7.354846,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","DKK","Danish Krone","0","Units",,,7.328879,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","DKK","Danish Krone","0","Units",,,7.281989,,
"DNK","Denmark","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","DKK","Danish Krone","0","Units",,,7.235852,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","IDR","Rupiah","0","Units",,,1212.247164,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","IDR","Rupiah","0","Units",,,1427.634797,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","IDR","Rupiah","0","Units",,,1595.368537,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","IDR","Rupiah","0","Units",,,1663.889513,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","IDR","Rupiah","0","Units",,,1720.878942,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","IDR","Rupiah","0","Units",,,1818.035786,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","IDR","Rupiah","0","Units",,,2013.796064,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","IDR","Rupiah","0","Units",,,2229.007024,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","IDR","Rupiah","0","Units",,,2415.672362,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","IDR","Rupiah","0","Units",,,2799.201405,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","IDR","Rupiah","0","Units",,,3007.98471,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","IDR","Rupiah","0","Units",,,3425.297479,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","IDR","Rupiah","0","Units",,,3606.566084,,
